name,artist,uri,popularity,album_name,release_date,album_art_url,genres
Tengo Un Novio Tántriko,Las Ketchup,spotify:track:2uh68wSgp7NEHLZDTxX9jH,20,Hijas del Tomate,2002,https://i.scdn.co/image/ab67616d0000b27354dbaa284c53e085523cfec2,flamenco electronica
Yesss Lord...,Perfection,spotify:track:5yUuiO7TxCUH7NRWineLY1,0,Perfection,2008-04-22,https://i.scdn.co/image/ab67616d0000b273c0a688e3e4156523db2212e3,No genres available
Sexo Pudor Y Lágrimas,Aleks Syntek,spotify:track:27qjcww3SKGeD4wTUOJEeh,57,89-99,1999-01-01,https://i.scdn.co/image/ab67616d0000b273570d12af07290fda65c93936,"latin arena pop, latin pop, mexican pop"
Alive,Dala,spotify:track:6LM6yXPoL5gXI12ZpdSwqw,3,Everyone Is Someone,2009,https://i.scdn.co/image/ab67616d0000b273685cd0314971d03a5c9e6bbd,"canadian folk, tearout"
The Conversation,Mt. Wilson Repeater,spotify:track:4yM5LxN8EPz01YMCPJLuni,0,Mt. Wilson Repeater,2008-10-05,https://i.scdn.co/image/ab67616d0000b27330671d314080505b2bc9a948,jangle rock
Vapour Fragments,Intex Systems,spotify:track:3VGakoiaqkFZZJKPQCfWNq,0,Research & Development,2008-11-14,https://i.scdn.co/image/ab67616d0000b2732ff10415b6ee66dc5f782071,No genres available
Ich bin jung und brauche das Geld (feat. G-Style),Eko Fresh,spotify:track:1ImJQbsJLoHj0YueZO21OT,36,Ich bin jung und brauche das Geld,2003-11-03,https://i.scdn.co/image/ab67616d0000b2733d58cfde196ccbb9bdf05d61,"cologne hip hop, german hip hop, turkish hip hop"
Standin In,Tunsi,spotify:track:0tZVOBJcMBcP0SF1ADqJFD,0,Inner-Cept,2010-01-07,https://i.scdn.co/image/ab67616d0000b27308bd24bbfbc4d35d4403031a,No genres available
Angel Fire,Eddy Raven,spotify:track:6YBJBPOzf0UtOtAAWtNPRu,6,20 Favorites,1998-01-01,https://i.scdn.co/image/ab67616d0000b2732dae7e28ee709722b681452a,classic country pop
Ghetto Curse Words,5th Ward Boyz,spotify:track:41ohScaBj3o9VzL0HAzCX0,4,Ghetto Dope,2013-08-15,https://i.scdn.co/image/ab67616d0000b273323a8e51216547c1920d24b4,"dirty south rap, dirty texas rap, houston rap"
Baby Doll,Migraine,spotify:track:7HnahRE4NMn9oXe1UJuXeY,0,David Shrinks,1996,https://i.scdn.co/image/ab67616d0000b27382107daeb4dd5bcf1d627b93,No genres available
Lindas Africanas,Africando,spotify:track:22wKz3FV5Tcop46U8yBhZ4,21,Martina,2003-01-01,https://i.scdn.co/image/ab67616d0000b2732e067d0665ff375f0b7d42b5,"mambo, salsa"
Never Really Knew U,Arika Kane,spotify:track:3iMwRi2wYDJQaNhyMOOXVC,0,Arika Kane,2011-08-03,https://i.scdn.co/image/ab67616d0000b273a881c337db19efc2eb384b73,No genres available
Bed's Too Big Without You,Inner Circle,spotify:track:4Yr6V8HWqI68npDsKn82SZ,1,Spirits In The Material World: A Reggae Tribute To The Police,2008-02-18,https://i.scdn.co/image/ab67616d0000b273bf4b54fa78dfc8d34f6fbd08,"reggae, reggae fusion"
Cranford: Holbrook,Carl Davis,spotify:track:7qjLt3zl6Jm3yBMioaE2Ot,7,"Davis, C.: Cranford",2010-01-26,https://i.scdn.co/image/ab67616d0000b273c45498fc454e5b2c7d1a6a18,No genres available
Swing Life Away,Rise Against,spotify:track:3yupzluZdw77zjfskZnQgc,55,Siren Song Of The Counter-Culture,2004-01-01,https://i.scdn.co/image/ab67616d0000b2731107b18eac8c7824908069cd,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk"
The Drifter,Dennis Brown,spotify:track:2PwJ5oBwnHgvqCSr0R80z1,1,Brown,2007-01-02,https://i.scdn.co/image/ab67616d0000b2732515bd75076e2ff0db627fbf,"lovers rock, reggae, roots reggae"
Inhume,Inhume,spotify:track:3x4iQKx76Z75clde4n4Vdx,3,In for the kill,2003,https://i.scdn.co/image/ab67616d0000b273bf9631fdf7f3400bef2312ea,"deathgrind, dutch death metal, goregrind, grindcore"
Warten,Andreas Dorau,spotify:track:7aF8qlTVvLME6UKrh0RfYy,0,Ärger mit der Unsterblichkeit,2005-01-01,https://i.scdn.co/image/ab67616d0000b27333e6ec9284f963f3f59df2ee,neue deutsche welle
God's Will,Martina McBride,spotify:track:1gnGpGoosJEKQRs5MNoQQw,30,Martina,2003-09-30,https://i.scdn.co/image/ab67616d0000b2731afac23dd54e6420bf11b4a8,"contemporary country, country, country dawn, country road"
Excuse Me,Papa Wemba,spotify:track:5b7qBwVPWwTH33Zerqcg1U,4,Papa Wemba Live New Morning,2006-06-09,https://i.scdn.co/image/ab67616d0000b27343f28659a03f9cdb747085fa,"afropop, rumba congolaise, soukous, zilizopendwa"
I Want To Know You More - The God Chasers Album Version,Scott Krippayne,spotify:track:3lvKfo4PwO2IfNaf5vF3SO,1,The God Chasers,2001-01-01,https://i.scdn.co/image/ab67616d0000b273c2803348d728a565d0f759f7,lds youth
Co-Pilot,Letters To Cleo,spotify:track:4zu2bhAqHXeMsCkwRvtTqU,36,Go!,1997-09-26,https://i.scdn.co/image/ab67616d0000b27394cf2f85642f25609b719cfc,"alternative pop, boston rock, candy pop, lilith"
Your One and Only,Brenda Lee,spotify:track:0zKGrkln8r7tp6gNxT1z0I,2,Brenda Lee,1991,https://i.scdn.co/image/ab67616d0000b2739f2e24ad7eb5a77b59250047,"adult standards, easy listening, lounge, rockabilly"
Planet E,Thirst,spotify:track:32OGyuqFQk1AmOunwOZ43E,0,Thirst,2004-02-06,https://i.scdn.co/image/ab67616d0000b2736ad119713f7bab37eb8a8e7a,No genres available
Here I Am to Worship - Piano Version,Instrumental Worship Project from I’m In Records,spotify:track:1ZZBzushPT1TvA0Suqf9ds,45,Instrumental Worship: Hillsong on Piano,2017-10-02,https://i.scdn.co/image/ab67616d0000b273de108cca8784bfcdc25f13b6,"instrumental worship, piano worship, vbs"
I'm Your Witchdoctor,John Mayall & The Bluesbreakers,spotify:track:3BY77RktbILYuk4ndY7V79,15,So Many Roads,2010-01-01,https://i.scdn.co/image/ab67616d0000b2733ef2bc61cb382e08e43a9557,"blues, blues rock, british blues, british invasion, electric blues, traditional blues"
Song,Count Ossie,spotify:track:1JLJKP7QRMEbBxWQmI2xcv,2,Grounation,2016-09-09,https://i.scdn.co/image/ab67616d0000b2732473a385c8a73035526195ed,nyahbinghi
Guardians of the Forest - Re-Recorded 2024,Wolfchant,spotify:track:00kwWxbWz8X9nYS7yiQnUC,5,A Pagan Storm (Re-Recorded 2024),2024-08-16,https://i.scdn.co/image/ab67616d0000b2734f218f450cfc3229859effad,"folk metal, german metal, german pagan metal, viking metal"
Hell On High Heels,Mötley Crüe,spotify:track:0ep0u6gSmwlqcaNRIaCeas,26,New Tattoo,2000,https://i.scdn.co/image/ab67616d0000b273083d519ce464142d09d4029c,"album rock, alternative metal, glam metal, hard rock, metal, rock, sleaze rock"
Chemistry (Remastered),Michael Stanley Band,spotify:track:687bOFijDWSYhEtWAlIYw5,3,North Coast (Remastered),1981,https://i.scdn.co/image/ab67616d0000b2735d9e4eeddce3e36bf9050411,heartland rock
Karma Violins,Pale Forest,spotify:track:2IBaEcTUWYXJhcgTlwbKJI,0,Transformation Hymns,1998,https://i.scdn.co/image/ab67616d0000b27334bd16580fd703a4cd79f2fb,No genres available
Dead Wrong,Cancer Bats,spotify:track:3UzrkpyC8QQ605oJ2tSxT0,12,"Bears, Mayors, Scraps, & Bones (Remastered) [10 Year Anniversary Editio]",2020-03-20,https://i.scdn.co/image/ab67616d0000b27336a376273ba51a8a769efa2f,"canadian hardcore, canadian metal, canadian metalcore, canadian punk"
My Buddy,Alvino Rey & His Orchestra,spotify:track:5ptGcxbXr7xSyWHri80Bxl,0,The Third Man and Other Favourites,2019-07-16,https://i.scdn.co/image/ab67616d0000b2739be53915784da480a9d8b768,man's orchestra
Lluvias de Cristal,Nestor Torres,spotify:track:6cih869Wtowefp1rT5Tq9f,1,Sin Palabras (Without Words),2004-03-23,https://i.scdn.co/image/ab67616d0000b2738834172c26770ea3edd0a261,"jazz flute, jazz puertorriqueno"
Standing in the Shower...Thinking,Jane's Addiction,spotify:track:7DzT745Oi9NI016FEkjWNa,32,Nothing's Shocking,1988-08-23,https://i.scdn.co/image/ab67616d0000b2738765ac8eae3b054a1750419d,"alternative metal, alternative rock, funk metal, funk rock, grunge, nu metal, permanent wave, rock"
"Jig: A Chailleach, do Mharais Mé",Willie Clancy,spotify:track:6q9om5AErloWxguDk1h7Rk,4,Willie Clancy The Gold Ring,2010-02-26,https://i.scdn.co/image/ab67616d0000b273c550d35b1d0303a79dad2311,"irish folk, uilleann pipes"
13 de Mayo,Isabel Pantoja,spotify:track:3gSp211jOUqQlGSMEYLV5X,8,Sinfonia De La Copla,2006-02-07,https://i.scdn.co/image/ab67616d0000b273e17963d43cae9bbd9eea2e14,"cancion melodica, copla, latin pop, pop romantico"
A Poor Man's Roses (Or A Rich Man's Gold),Patsy Cline,spotify:track:2FTUUr2lKiO5rgEd6t7Kny,35,Showcase,1961-11-27,https://i.scdn.co/image/ab67616d0000b2736fda96b0954b958ee44c8efc,"country, nashville sound"
Here I Am King,Primordial,spotify:track:0hmHakIB3PWJlZ6uq8JdW0,3,Imrama,2009-03-31,https://i.scdn.co/image/ab67616d0000b2733bf242adcaae25c5de34d550,"black metal, celtic metal, doom metal, folk black metal, folk metal, irish black metal, irish metal, pagan black metal, symphonic black metal"
I Still Want Your Love - Extended Mix,Solitaire,spotify:track:2dne8iqo55cp608yCFHOyC,0,Unreleased Tracks & B-Sides,2007-09-13,https://i.scdn.co/image/ab67616d0000b273fdc939479611310c75fa2cc1,No genres available
Si Tu Regresas,Jay Pérez,spotify:track:2X18FzXTVeACq138ebKjUq,12,Te Llevo en Mi,1993,https://i.scdn.co/image/ab67616d0000b273efb1082f900e0e61228ebcd2,tejano
Raha ratkaisee,Irwin Goodman,spotify:track:443gbsHNtBw2xXyfgusaGH,7,Ei tippa tapa,1966,https://i.scdn.co/image/ab67616d0000b27370373f2a15cf99e24a6a8e89,"classic finnish pop, classic iskelma, humppa, suomi rock"
Slow Poke,Pee Wee King,spotify:track:4zPUPYXQqhIBG5ZnVsDJdY,18,Square Dances,1949-12-03,https://i.scdn.co/image/ab67616d0000b2731f0123bb8314ddcddfea18fd,"cowboy western, western swing"
I Won't Spend Another Night Alone,The Ataris,spotify:track:4Ni3C5tFwXyowFzBhaSt2j,26,"So Long, Astoria",2003-03-04,https://i.scdn.co/image/ab67616d0000b2730182816d9fe797a551832bf2,"emo, pop punk, pop rock, skate punk"
And Still I Wither,Enslavement Of Beauty,spotify:track:6jyXc4YEJsNillKEN8DEt7,2,Traces O` Red,1999-11-01,https://i.scdn.co/image/ab67616d0000b273d68b3267af2d1a78c02e6cf4,"gothic black metal, norwegian black metal, symphonic black metal"
All Or Nothing,Skold,spotify:track:1Fa2lQSpCbnxEcKfZSUscD,11,SKOLD vs. KMFDM,2009-01-01,https://i.scdn.co/image/ab67616d0000b273d53902cea95f8e06e25c6396,"industrial metal, industrial rock"
Les Scieurs De Long,Jacques Douai,spotify:track:5CWbne4VNiH0VOQb4tW7mG,0,Heritage - La Belle Se Promène - BAM (1978),2008-01-01,https://i.scdn.co/image/ab67616d0000b273875d082ee572da3e19a44fc3,vintage chanson
Take My Breath Away,Jessica Simpson,spotify:track:7AHZb0GnILBBitj0MxObO5,39,In This Skin (Deluxe Edition),2003,https://i.scdn.co/image/ab67616d0000b273adefab4c77e8a845234eeee4,"dance pop, post-teen pop"
Expire,Antimatter,spotify:track:0sEjJhr8NBnNcCyL0KCFgP,6,Lights Out,2003-06-23,https://i.scdn.co/image/ab67616d0000b2733e99e0f848b773e54db7f639,"dark rock, modern progressive rock"
Not Forgotten - Live,Israel & New Breed,spotify:track:5KPwZz5lCLL0XQTlxnB2JB,30,Alive In South Africa,2005-08-20,https://i.scdn.co/image/ab67616d0000b273f75ae4ece6ae169155dc2a45,gospel
L'homme de paille - Remastered 2004,Jacques Dutronc,spotify:track:6cOYVXfXYXJsyBZudnr0Yw,0,Best Of Jacques Dutronc,2009-02-23,https://i.scdn.co/image/ab67616d0000b273fc01cfe5836183800031f805,"chanson, ye ye"
How Great Thou Art,Ronnie Milsap,spotify:track:4libklmbfQSYD2OPqgik8c,15,Gospel Greats,2016-02-12,https://i.scdn.co/image/ab67616d0000b273baa2919ecb29b1f9187a7fa9,"classic country pop, country, country road, country rock, nashville sound"
Ayer,La Quinta Estacion,spotify:track:3R0FcTSEt1p89F8XPGgb6D,9,Primera Toma,2002,https://i.scdn.co/image/ab67616d0000b27329995dfdab00737a7b504dac,"latin arena pop, latin pop, spanish pop rock"
Mes belles amourettes,Jacques Douai,spotify:track:2YRet41aPwijIKaH0PBxIP,0,N° 6,1960-01-01,https://i.scdn.co/image/ab67616d0000b2731fe290e10d4a0e3b5ed57616,vintage chanson
Crazy,Aynsley Lister,spotify:track:4NYmMzvrEefWx2E1HYtTbP,7,Equilibrium,2009,https://i.scdn.co/image/ab67616d0000b2736612b0e2180c568664f9be31,"british blues, modern blues, modern blues rock"
Don't Sit Under The Apple Tree (feat. The Glenn Miller Orchestra with Debra Byrd),Barry Manilow,spotify:track:3Gu5vNiGMZ1nUfwVecifcv,4,Singin' With The Big Bands,1994,https://i.scdn.co/image/ab67616d0000b273c1847d37f4700a8b6cd33474,"adult standards, mellow gold, soft rock, yacht rock"
Dubbaq,Legion of Green Men,spotify:track:1GBOy2bwvoleSYBN355yVT,0,Baqontraq,2007-06-05,https://i.scdn.co/image/ab67616d0000b27363cd307a0f22a3870c73666c,No genres available
Stay with Me,Faces,spotify:track:7fLTytvnvxy653VWxflTRf,57,A Nod Is as Good as a Wink... to a Blind Horse,1971,https://i.scdn.co/image/ab67616d0000b273287cf46590a781b8a03e174e,"blues rock, classic rock, country rock, folk rock, glam rock, protopunk, psychedelic rock, roots rock, singer-songwriter"
No Hace Falta Que Lo Digas,Alejandro Lerner,spotify:track:26BIdAjkIlrvXnxAFvllmF,41,El Album,1994-01-01,https://i.scdn.co/image/ab67616d0000b273ccf60b2784491e62da6aff6a,No genres available
Out Of My Mind,Glen Ricks,spotify:track:6pOwMKLj85X6UI2d6AjrMt,0,Fall In Love,1992,https://i.scdn.co/image/ab67616d0000b273a51e368b89f07d351a8a9f26,"deep ragga, lovers rock"
Bass To Bass,DJ Slugo,spotify:track:69fd8UFjvBg9kBIm0r3s4t,0,DJ Slugo Juke Chronicles Vol. 1,2008-02-29,https://i.scdn.co/image/ab67616d0000b273f79d66b9a27ee357c338a133,"footwork, ghettotech"
You Got Soul Loop,Simon Harris,spotify:track:6qUMXlE2KmXSpJ9duKV7HI,0,"Beats, Breaks & Scratches, Vol. 1",1989-08-09,https://i.scdn.co/image/ab67616d0000b273870bf2cd68eaf3aab734bcf1,No genres available
Join the Parade,Tony Carey,spotify:track:7DJf1lwW8CnZLV6B4kbjF5,6,Go out Dancing: G.O.D. I 1931,2005-01-01,https://i.scdn.co/image/ab67616d0000b273f134a91bfdc724454298e001,No genres available
Better to Have Lost in Love (Than Never to Have Loved) - Remastered Version,Eurythmics,spotify:track:2gnym3haNBKGuS2WWOi1bc,13,Be Yourself Tonight,1985-04-29,https://i.scdn.co/image/ab67616d0000b2738b9d4820655b6bf032ed41f3,"dance rock, new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop"
Emergences: III. Fragments d'epaves,Alain Gagnon,spotify:track:1NgBb0PKcU8DkTwqUbyB52,0,"Palmer, David: Canadian Organ Music Showcase",2012-04-01,https://i.scdn.co/image/ab67616d0000b273a1840a2f78354aee6e4ff83d,No genres available
At the Movies,Bad Brains,spotify:track:3jHg8MF1vqjUyDphuLOHTp,27,Rock for Light,1983,https://i.scdn.co/image/ab67616d0000b273b4bbc117f93eb572bebf9585,"black punk, dc hardcore, hardcore punk, nyhc, punk"
Send Me an Angel,Zeromancer,spotify:track:6p3bKeWV0qipS7IJiiybZP,25,Eurotrash,2001-10-01,https://i.scdn.co/image/ab67616d0000b2734ba16f80c3074c7580415d52,industrial metal
Send Me the Pillow You Dream On,Hank Locklin,spotify:track:5zVjs89nsOIT7I90ETawau,33,RCA Country Legends,2003-03-03,https://i.scdn.co/image/ab67616d0000b27351626ff4836e45a4dafa5cda,nashville sound
Bullmoose,Bobby Darin,spotify:track:1Ukq4GV68MyNTJi6ytW7Xx,4,Sing & Swing with Bobby Darin,2007-10-30,https://i.scdn.co/image/ab67616d0000b273862db99c6256291d040fe219,"adult standards, easy listening, lounge, rock-and-roll, rockabilly, vocal jazz"
Titanium - 2009 Remaster,Kraftwerk,spotify:track:2U3fpa1BwYo6ow1WRrmkIl,10,Tour de France (2009 Remaster),2003,https://i.scdn.co/image/ab67616d0000b273d57ed87e9a1aedcb7a0514ce,"dusseldorf electronic, early synthpop, electro, proto-techno, synthpop"
"How to Say ""Rip Them Off"", Repeat After Me",Melt-Banana,spotify:track:3OC366Qz3ZWO3XWeYoYr1w,0,Cactuses Come in Flocks,1994,https://i.scdn.co/image/ab67616d0000b273058dea9e5b87a96bc903d0a5,"experimental rock, japanoise, math rock, noise rock, noisecore"
Real - KingBeats FREQMix,King Beats,spotify:track:1UoWmb9bCFWGwAue2r1GzF,0,King Beats Presents: How High is Ur ... Motivation Hits From Tha Bong,2021-07-02,https://i.scdn.co/image/ab67616d0000b27315fbc0590c0bc8895228c7f1,No genres available
Albi Eshi’ha,Ragheb Alama,spotify:track:4xSukcHWU8LrtWSTjOInpM,45,Alby Eshekha,1995-01-01,https://i.scdn.co/image/ab67616d0000b273c0fc6372a9785ea9d7be0038,"classic arab pop, lebanese pop"
We Need Love,Johnny Osbourne,spotify:track:1yQjhh7qrimZ9OPMX7WIsD,35,"Soul Jazz Records Presents 100% Dynamite! Ska, Soul, Rocksteady and Funk in Jamaica",2015-09-25,https://i.scdn.co/image/ab67616d0000b273556fa53252505adf6aded1e3,"dub, lovers rock, old school dancehall, reggae, rocksteady, roots reggae"
Long Way 2 Go,Cassie,spotify:track:4v5kAh2wWyCSuKuhMJK8u6,74,Cassie (U.S. Version),2006-08-07,https://i.scdn.co/image/ab67616d0000b273f4c4ee507c2558262869f415,"dance pop, hip pop, pop rap, r&b, urban contemporary"
Riot in Cell Block #9 - Live,Commander Cody and His Lost Planet Airmen,spotify:track:0l7MraSNukICz3Y71BI2kB,0,Strange Adventures On Planet Earth (Live),2021-12-10,https://i.scdn.co/image/ab67616d0000b273453e702f52952b7c926735de,country rock
Start Even,Tex Williams,spotify:track:3fRIlS06CQcgXGAB7m5C7X,20,Smoke Smoke Smoke,1960-01-01,https://i.scdn.co/image/ab67616d0000b27332d29391915dc8f80945a4d5,"cowboy western, western swing"
Out Demons Out - 2004 Remaster,Edgar Broughton Band,spotify:track:5sLxWEKAXSeCbpSoQ9VTtr,9,The Harvest Years (1969-1973),2011-01-17,https://i.scdn.co/image/ab67616d0000b2731498600144390779827c9006,"acid rock, proto-metal, psychedelic blues-rock"
Christmas All Over Again,Tom Petty and the Heartbreakers,spotify:track:30SNjazZhzunhAWCjhdyyD,68,A Very Special Christmas 2,1992-10-20,https://i.scdn.co/image/ab67616d0000b27348dfcfd269a34c3555cb2da0,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock"
I Want More - Part 1 - Live At Alexandra Palace,Faithless,spotify:track:5OEiluUCNehArxFlkscqij,14,Live At Alexandra Palace,2005-07-24,https://i.scdn.co/image/ab67616d0000b273f8fe0201910c1a3b2e412e89,"big beat, downtempo, electronica, trip hop"
Regarde un peu la France,Miossec,spotify:track:6BqZcFfy8eKEX0uIp4SnxE,13,Boire (25ème Anniversaire),1995,https://i.scdn.co/image/ab67616d0000b273863f560f399c8fea7c09fc34,"chanson, french rock, nouvelle chanson francaise"
Muh F***a - Album Version (Edited),Redman,spotify:track:4Zg3NdPzdGMFEUitbWwo3q,3,Malpractice,2001-05-22,https://i.scdn.co/image/ab67616d0000b273bc7db1098b4a4ddc2257d93c,"east coast hip hop, hardcore hip hop, new jersey rap, wu fam"
毅行,Miriam Yeung,spotify:track:67W4NYON5RPJoQhhcVzmaM,4,Unlimited,2006,https://i.scdn.co/image/ab67616d0000b2739f7fbfa6a7598a61ba9bb321,cantopop
"Blue, Blue Day",Don Gibson,spotify:track:4xWohADqZ5oFXcFOiC10l4,34,Oh Lonesome Me,1958-04-25,https://i.scdn.co/image/ab67616d0000b2739119d2e1293b5e31a9cf709e,nashville sound
America the Beautiful,"Bands of the US Army, Navy, Air Force, Marines, and Coast Guard",spotify:track:49vkJcZzpxGjQFqnJ4P37B,5,An Independence Day Celebration,2006-06-15,https://i.scdn.co/image/ab67616d0000b273222f5a11a2524bdd5abb04d6,"marching band, military band"
Sunny Day,CoCo Lee,spotify:track:1OPGi0JXlBuJsgPjRZviB6,19,Sunny Day 好心情,1998-06-18,https://i.scdn.co/image/ab67616d0000b273fada79810aabb1845638fee3,"mandopop, taiwan pop"
Nuoruusmuistoja,Erkki Junkkarinen,spotify:track:2fkJx8fzzyjTfhV4HTdKBB,18,Nuoruusmuistoja,1976,https://i.scdn.co/image/ab67616d0000b273df86dc3f0c83ded36f879cda,"classic finnish pop, classic iskelma, humppa"
Ahmea,Flutlicht,spotify:track:5k43bIvYAZTZpLJe9lmv9T,11,Department Of Classics - Trance,2016-10-28,https://i.scdn.co/image/ab67616d0000b273ffdcf0bd852c4b1b26550c9e,hard trance
International Love (feat. Chris Brown),Pitbull,spotify:track:62zFEHfAYl5kdHYOivj4BC,77,Planet Pit (Deluxe Version),2011-06-17,https://i.scdn.co/image/ab67616d0000b2731dc7483a9fcfce54822a2f19,"dance pop, miami hip hop, pop"
After Lovin You - Love Life Album Version,Charlie Peacock,spotify:track:2eWWljo6zOdksx516xlgN0,2,Love Life,1991-01-01,https://i.scdn.co/image/ab67616d0000b273aa2d416187454f35a51dde56,deep christian rock
If I Miss You Again Tonight,Tommy Overstreet,spotify:track:1pBhJk1xYXU2A3MADdiyaU,1,22 Big Ones,2015,https://i.scdn.co/image/ab67616d0000b27395f4e885eeb5f3253f2f5081,"classic country pop, classic oklahoma country, nashville sound"
Wrote for Luck - Remastered Version,Happy Mondays,spotify:track:0MmezuFIfxZQSyUVC5NAKa,28,Bummed (Collector's Edition),2007-01-01,https://i.scdn.co/image/ab67616d0000b27340e5df6a7c6bb67435816a95,"britpop, dance rock, madchester"
Le bagad de Lann-Bihoué,Alain Souchon,spotify:track:5jDlcRFmL6TREIcq3CUg31,28,"Toto 30 Ans, Rien Que Du Malheur...",1978-10-13,https://i.scdn.co/image/ab67616d0000b2732dc47ef7fbde18802fc7785e,"chanson, french rock"
Beef,Capone-N-Noreaga,spotify:track:4BqtbpmKKWpBppJ0w7SRp6,2,Follow The Dollar,2015-03-31,https://i.scdn.co/image/ab67616d0000b273baea10409b14f632ecd7fb6f,"east coast hip hop, queens hip hop"
Find the Office,Patric C,spotify:track:1YqLS9LafQscaIJwoAoyg6,0,The Horrible Plans of Flex Busterman,1997,https://i.scdn.co/image/ab67616d0000b273b8c647a312d7f947d47cb228,digital hardcore
Quasar,Kitaro,spotify:track:6xrSVKIAyVgx2txwIdDBrj,3,Spiritual Garden,2006-02-21,https://i.scdn.co/image/ab67616d0000b2735e5608f6df7248a4db773e96,"healing, new age, synthesizer"
Don't Let My Teardrops Bother You,Dionne Warwick,spotify:track:0RqNzHgFwADfc3gPv7xNT8,6,Just Being Myself,1973,https://i.scdn.co/image/ab67616d0000b273ffb7cd4f7e1abcfceb045c79,"adult standards, brill building pop, disco, quiet storm, soft rock, soul, vocal jazz"
Rotten Apples - BT Mix,The Smashing Pumpkins,spotify:track:3XFuPqz7LH9iiMLl4Q8YnN,22,Mellon Collie And The Infinite Sadness (Deluxe Edition),1995,https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge"
Slangen i paradis,Cutting Edge,spotify:track:4KOPgVbRJ9D3Q8nufBJemZ,0,Alle tre,1995,https://i.scdn.co/image/ab67616d0000b273049eefbc8c0071b46a407f9b,No genres available
M'En Vas A La Fontaine,Jacques Douai,spotify:track:6ZExp35nJd2YKrr4sAf9fA,0,Heritage - Récital n°3 & 4 - BAM (1956-1957),2008-01-01,https://i.scdn.co/image/ab67616d0000b27345fb4042ecd788512338c10b,vintage chanson
Free,Dark new Day,spotify:track:30TpR7Mh2yqdzjATV1vyyl,18,Twelve Year Silence (U.S. Release),2005-06-14,https://i.scdn.co/image/ab67616d0000b273f1d21d2b6a4c2857f5412089,"hard alternative, post-grunge"
Miyela Afrika,Vusi Mahlasela,spotify:track:07PQIWhYbcoiOd3fetWpnQ,5,"Vusi Mahlasela, Greatest Hits",2014-06-06,https://i.scdn.co/image/ab67616d0000b273c79eeaf35ca9f872c36f67b3,south african jazz
All Night Long,Junior Kimbrough,spotify:track:0XdJDBL3TmRv7ODKqFPhS1,17,God Knows I Tried,1998,https://i.scdn.co/image/ab67616d0000b27373f87ba8fd28328c884cf873,"acoustic blues, country blues, delta blues, traditional blues"
Believe in Me,ATB,spotify:track:6Jof0GaMMYMnAB8w1J9ucE,31,Seven Years,2005-06-13,https://i.scdn.co/image/ab67616d0000b273a378e119f05b3b24785053bc,"german dance, german techno, german trance, trance"
Dead Hackers,Marco Beltrami,spotify:track:0uZ36FQbtXxPuqwQItYaJF,7,Live Free Or Die Hard (Original Motion Picture Soundtrack),2007-01-01,https://i.scdn.co/image/ab67616d0000b273893102e15f76f5dbb12239f7,"orchestral soundtrack, soundtrack"
Contrary Mary,Kix,spotify:track:2Ok76Ja13YxxCCxCYefefD,12,Kix,1981,https://i.scdn.co/image/ab67616d0000b27318dc8bd34b9b238c072b5cf7,glam metal
Miss Clara/Azusa Sue,Bobbie Gentry,spotify:track:6bB19GmqFj1nfQH2wfvunc,3,Patchwork,1971-05-01,https://i.scdn.co/image/ab67616d0000b273f26e19203fcff73db0683b41,No genres available
Eruption - 2015 Remaster,Van Halen,spotify:track:2tAeN2TKlQLOoSPXtARzBV,61,Van Halen (Remastered),1978-02-10,https://i.scdn.co/image/ab67616d0000b27317dd812df38fed44d6d2036e,"album rock, classic rock, hard rock, rock"
Comfort Zone,Everyday Sunday,spotify:track:6b2FnukOqS9UbRk9mPNhct,1,Anthems For The Imperfect,2004,https://i.scdn.co/image/ab67616d0000b27364ffcef4b0982a66d6fc2d7e,"christian alternative rock, christian punk, christian rock"
Better Ways,Tam Tam Go!,spotify:track:1dAuSeqNVBdSlDe9O5nIvR,6,Espaldas Mojadas,1990-01-25,https://i.scdn.co/image/ab67616d0000b2732bce9c7239c60849e6de155e,"indie extremena, spanish new wave, spanish pop, spanish pop rock"
Traveling Fast,Pat Metheny,spotify:track:4EAB4TcXil8yVNvyldGGhH,4,Day Trip / Tokyo Day Trip,2009-06-02,https://i.scdn.co/image/ab67616d0000b27329fb2e16ee7ab09ff0855d59,"avant-garde jazz, contemporary post-bop, jazz, jazz fusion, jazz guitar"
First Kiss,Jim Chappell,spotify:track:5alSujKsK0vcGnECOiptMs,2,Laughter at Dawn - Solo Piano,1994-07-01,https://i.scdn.co/image/ab67616d0000b2737a977826797fcf84c9ff7b37,No genres available
Fighters (feat. Matthew Santos),Lupe Fiasco,spotify:track:2Kh1dZBgQAJQ2ZQ6AjMQdp,32,Lupe Fiasco's The Cool,2007-01-01,https://i.scdn.co/image/ab67616d0000b273c3244d303444a43b933b9bf4,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop"
