name,artist,uri,popularity,album_name,release_date,album_art_url,genres
You're My World,Emilia,spotify:track:6DU44gpJ7e4CbBmC7FZk7F,7,Absolute Svenskt 00-tal,2023-12-16,https://i.scdn.co/image/ab67616d0000b273161a0a4175bc9e797719642a,pop argentino
Solamente Una Vez,Nana Caymmi,spotify:track:0RFTyFha9PYuncxlYXPpfQ,29,Sangre De Mi Alma,2000-01-01,https://i.scdn.co/image/ab67616d0000b2734878203a684bdc1b00beba25,"bossa nova, mpb, samba, velha guarda"
Sahti Waari,Turisas,spotify:track:5clUjbxHSe1IEJX7LEH3rv,26,Battle Metal (Deluxe Edition),2004,https://i.scdn.co/image/ab67616d0000b2739cdf0d59baf917080d4fd6bf,"folk metal, nordic folk metal, power metal, slavic folk metal, symphonic metal, viking metal"
The Lords Prayer,Jane Winther,spotify:track:6AxU0tQbKRmjsopvpHfoRw,10,Prayer,2005,https://i.scdn.co/image/ab67616d0000b273b79317537b0a1e86a2aa0c99,"kirtan, meditation, world devotional"
Blake's Worried Blues,Blind Blake,spotify:track:0HW7vMxdCx0VdUANNDzgIz,2,Blind Blake Vol. 1 (1926 - 1927),1991,https://i.scdn.co/image/ab67616d0000b273d84742aa5a86eee3e0bbad4e,"acoustic blues, bahamian folk, country blues, piedmont blues, pre-war blues, ragtime, traditional blues"
Allein,UKW,spotify:track:1Itx6L7ZuyToNkzkZwoyOA,1,Ultrakurzwelle,1982-07-24,https://i.scdn.co/image/ab67616d0000b273363399df63d47cb85a35acab,neue deutsche welle
Still There For Me,Keb' Mo',spotify:track:4TgAbG9R0uIU4JAGfV7yZO,13,Suitcase,2006,https://i.scdn.co/image/ab67616d0000b27382cf8be6db302c99f242f441,"acoustic blues, blues, country blues, electric blues, modern blues, piedmont blues"
Feelings,SHY FX,spotify:track:6ubaO4iPmPCrtSsMkfmw9v,40,Diary of a Digital Soundboy,2014-03-28,https://i.scdn.co/image/ab67616d0000b273e6bf33e5f68db3eb3e4c22bc,"drum and bass, jungle, ragga jungle"
If You Love Me - Remix,Becky Baeling,spotify:track:3tmQlsfYw4AgnsjXx7P61J,2,Becstasy,2003-01-01,https://i.scdn.co/image/ab67616d0000b273625b1387703588ea8ee0f5f0,deep vocal house
Canyon People,R. Carlos Nakai,spotify:track:2ETGtpU7svvYk2Ri1YfYtX,31,Canyon Trilogy,1984-12-31,https://i.scdn.co/image/ab67616d0000b2738c2daccb28a028d6d196904b,"native american flute, native american traditional, navajo"
Girls Against Boys,Vitamin C,spotify:track:4zmXNJmpfgdYR2AnK0Jked,7,Vitamin C,1999-08-31,https://i.scdn.co/image/ab67616d0000b27316354c666df6afbd41862adf,No genres available
Sally In the Garden,Kathy Mattea,spotify:track:0cWSquIusPs7EB1bjUoqnX,2,Coal,2008-04-01,https://i.scdn.co/image/ab67616d0000b273e078b95455c3f8ac39fcc35c,"classic country pop, country, country rock, deep contemporary country"
A Day in the Life - Live,Jeff Beck,spotify:track:2FDod18WMaztiCq4A7Z56x,23,Live and Exclusive from The Grammy Museum,2010-10-25,https://i.scdn.co/image/ab67616d0000b27358e5d9b9d64927f4f140d825,"album rock, blues, blues rock, british blues, classic rock, electric blues, hard rock, instrumental rock, jazz fusion, progressive rock"
Eleanor Put Your Boots On,Franz Ferdinand,spotify:track:24AFErHUiORpll04wrR6u4,40,You Could Have It So Much Better,2005-10-03,https://i.scdn.co/image/ab67616d0000b27392c508bc5a40ea588bcaed38,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock"
Ojitos Dormilones,Jay Pérez,spotify:track:6mcsvRX0wXjT793ycNZQBF,2,10 de Colección,2007-03-20,https://i.scdn.co/image/ab67616d0000b2731747744e08a8f42b266b84aa,tejano
Great Big Problem,FFH,spotify:track:7nYXeLCXe5qGoL3ooonLLs,1,Voice From Home,2005-12-27,https://i.scdn.co/image/ab67616d0000b27314d5d7e460c4507b260a943f,"christian alternative rock, christian music"
Brown Girl,John D. Loudermilk,spotify:track:5ufOKZIPmTeuQ3ppK8rhaL,0,The Open Mind of John D. Loudermilk,1969-03-01,https://i.scdn.co/image/ab67616d0000b27302657084a93387327184fa93,rock-and-roll
La Copa Grande,Pablo Montero,spotify:track:25P8owbxjBekOyhgRmCA1u,2,Pídemelo Todo,2002-05-21,https://i.scdn.co/image/ab67616d0000b273e28e11e7b3c290d426f58a7b,"latin pop, mariachi, ranchera"
Perca peso,Móveis Coloniais de Acaju,spotify:track:33ByezGpcQw4kSUaKtipbg,17,Idem,2005-07-26,https://i.scdn.co/image/ab67616d0000b273b750048aef046a2684f345c6,"brazilian indie, brazilian ska, nova mpb, rock brasiliense"
Where Do I Fit,Tonic,spotify:track:1gdNjjhpUlN2gaIacNQYKF,10,Tonic,2010-05-04,https://i.scdn.co/image/ab67616d0000b273e45d96ec6d83d57ad8144a35,"pop rock, post-grunge"
Bad When U Broke,Dave Hollister,spotify:track:7yRrKjJxaLmcfCL8nEQz7t,6,Real Talk,2003-01-01,https://i.scdn.co/image/ab67616d0000b2734aa92a49a78c0ebe6f56ab26,"contemporary r&b, new jack swing, r&b"
My Bulldog Blues,Sonny Terry and Brownie McGhee,spotify:track:4Z1zPEqJLKhesiVVJSHMPY,0,"Sonny Terry & Brownie McGhee, Vol. E (1938-1941)",2003,https://i.scdn.co/image/ab67616d0000b27346464ae27343f912a5cf0a15,"acoustic blues, blues, traditional blues"
Changed,The Grip Weeds,spotify:track:5fBrZHlqKgGLiD542Je2Ns,0,Summer of a Thousand Years,2013-09-17,https://i.scdn.co/image/ab67616d0000b273433fcd6883317890c9ba6815,"modern power pop, underground power pop"
The Son Of Hickory Holler's Tramp,Kenny Rogers,spotify:track:2ons8YrupZvbMgJoL3zy77,27,Kenny Rogers,1976-10-18,https://i.scdn.co/image/ab67616d0000b273c478c6674ce0b3219e8e3e7e,"classic country pop, country, nashville sound, soft rock"
Amores Cobardes,Andy & Lucas,spotify:track:4brxORKRVRPvowRuDw3Fcv,9,Con Los Pies En La Tierra,2008-09-30,https://i.scdn.co/image/ab67616d0000b2732f72f04315121890a2310cef,"latin pop, pop flamenco, rumba, spanish pop"
Mornin' Glory,Bobbie Gentry,spotify:track:0YcKZu2WVjO0U3vSNAPsKj,9,Bobbie Gentry And Glen Campbell,1968-01-01,https://i.scdn.co/image/ab67616d0000b27317e92743cff429d8fa54164f,No genres available
